fixing_commit_hash,introducing_commit_hash,file_path,jira_keys,fixing_date,introducing_date
b8d5fce331675d4d00d65e1626bb41bd5849d70c,37b7da0c1365f3afa2331b68eb64231a8525f344,helix-core/src/main/java/com/linkedin/helix/manager/zk/WriteThroughCache.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-08-06T10:53:27-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,5fba092b535e0b374594f0aff8e5b057b805fc1f,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-22T18:08:25-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,dc5a85551d40bdcb5ec3a307d061ab3f9c554816,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-08-06T14:00:59-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,a7a0469050316d8eeab6c387871d5ea9655fb5ac,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-08-02T17:19:53-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,3f501598da178340505d6f6963d885f787af61fb,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-08-04T00:00:31-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,49702005d55461b0a87260300c39eea4020a3d58,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-08-01T15:36:23-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,331c3cbc61062fae0b731509b9105688c24c20ab,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-25T19:07:56-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,b332e128e3163a07ee2d44b5d9767a64ab21c94c,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-07-30T20:43:14-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,560d54c47d214bc619899db1fe778a8012655c56,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZkBaseDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-21T18:57:59-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,22952fce94eb9032c358f06cfbf886d03ed3c8f5,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZkCachedDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-07-27T23:34:41-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,331c3cbc61062fae0b731509b9105688c24c20ab,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZkCachedDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-25T19:07:56-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,6716b42c0a8bb423783052a6232ecd563f35a3aa,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZkCachedDataAccessor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-24T23:58:04-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,a81521d77664162e8c06cc2f2a0b6f261be3b6b7,helix-core/src/main/java/com/linkedin/helix/messaging/handling/HelixTaskExecutor.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-01-18T10:04:45-08:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,b332e128e3163a07ee2d44b5d9767a64ab21c94c,helix-core/src/main/java/com/linkedin/helix/model/IdealState.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-07-30T20:43:14-07:00
b8d5fce331675d4d00d65e1626bb41bd5849d70c,491c0f72978bfe2dfca272bd542347beb5642e27,helix-core/src/main/java/com/linkedin/helix/model/IdealState.java,HELIX-86,2012-08-07T14:30:23-07:00,2012-06-29T17:29:32-07:00
717d041ec2415c68c491c42c1f702a6dad457e35,0b8b65c1c4239b6424c87f0029a665e0227d944f,helix-core/src/main/java/com/linkedin/helix/manager/zk/ZKHelixAdmin.java,HELIX-89,2012-08-13T11:22:02-07:00,2012-06-26T19:05:11-07:00
717d041ec2415c68c491c42c1f702a6dad457e35,fe82d6c32bb6a0d088cc1bba79a77a82d29ad410,helix-core/src/test/java/com/linkedin/helix/integration/TestResetPartitionState.java,HELIX-89,2012-08-13T11:22:02-07:00,2012-02-27T16:19:13-08:00
986892cbca57c6eb0470f31657ab204378d98baf,c4f8fd36c4f6044f592a82845ac4f36ee6b18bb7,helix-core/src/main/java/com/linkedin/helix/tools/ClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2012-08-09T16:40:11-07:00
986892cbca57c6eb0470f31657ab204378d98baf,49702005d55461b0a87260300c39eea4020a3d58,helix-core/src/main/java/com/linkedin/helix/tools/ClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2012-08-01T15:36:23-07:00
986892cbca57c6eb0470f31657ab204378d98baf,c0efe60f1f48c9411fd7dfd45ba20fe841adc305,helix-core/src/main/java/com/linkedin/helix/tools/ClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2012-08-01T18:46:05-07:00
986892cbca57c6eb0470f31657ab204378d98baf,97d761e9f0d64991a3d904240f7f361246c1dfcf,helix-core/src/test/java/com/linkedin/helix/TestClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2011-11-10T13:40:51-08:00
986892cbca57c6eb0470f31657ab204378d98baf,4dae015ceeec8c58a18f22bf8079210f8d0bff6a,helix-core/src/test/java/com/linkedin/helix/TestClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2011-10-21T16:06:29-07:00
986892cbca57c6eb0470f31657ab204378d98baf,c0efe60f1f48c9411fd7dfd45ba20fe841adc305,helix-core/src/test/java/com/linkedin/helix/TestClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2012-08-01T18:46:05-07:00
986892cbca57c6eb0470f31657ab204378d98baf,48a75f8cbb6249e198eb93550031f488cf5eac2e,helix-core/src/test/java/com/linkedin/helix/TestClusterSetup.java,HELIX-92,2012-08-13T14:55:34-07:00,2012-03-05T16:35:56-08:00
b9cbbd409b676ad9c57115ee2aee3108d2f5becd,fb8a517946df05f54793d509c83086384f89b587,helix-core/src/assemble/assembly.xml,HELIX-3,2012-10-25T10:01:27+02:00,2012-04-24T12:05:31-07:00
b9cbbd409b676ad9c57115ee2aee3108d2f5becd,79a6789b19f1eed0dbfd2b0a74c6fc7ef9f2207c,pom.xml,HELIX-3,2012-10-25T10:01:27+02:00,2012-06-26T13:48:14-07:00
b9cbbd409b676ad9c57115ee2aee3108d2f5becd,fb8a517946df05f54793d509c83086384f89b587,pom.xml,HELIX-3,2012-10-25T10:01:27+02:00,2012-04-24T12:05:31-07:00
b9cbbd409b676ad9c57115ee2aee3108d2f5becd,f32bb9e28841e8bda0023c22ed2b2fde86b560f0,pom.xml,HELIX-3,2012-10-25T10:01:27+02:00,2012-06-26T18:02:49-07:00
b9cbbd409b676ad9c57115ee2aee3108d2f5becd,e98143873fd0c4638511033637a3737afef4bd53,src/site/markdown/UseCases.md,HELIX-3,2012-10-25T10:01:27+02:00,2012-10-23T22:31:49+02:00
